Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/372-S-Highland-Ave-APT-406-Pittsburgh-PA-15206/11625478_zpid/","","","130000","130000","1171","113900","10/11/2023","","","","","","","1","1","","Gregory Higbee","No","No","Apt 406","372 S Highland Ave APT 406","Pittsburgh","15206","PA","USA","40.45453","-79.92559"
"https://www.zillow.com/homedetails/605-Calais-Dr-APT-101-Pittsburgh-PA-15237/164485034_zpid/","","","145000","145000","1814","79000","10/03/2023","1111","sqft","130.51","","","","2","2","","Adriene Eggert","No","No","Apt 101","605 Calais Dr APT 101","Pittsburgh","15237","PA","USA","40.56685","-80.05451"
"https://www.zillow.com/homedetails/350-Hidden-Ridge-Ct-APT-304-South-Park-PA-15129/87989349_zpid/","","","158000","158000","1421","120000","09/29/2023","1260","sqft","125.4","","sqft","","2","2","","Pete Pavlik","No","No","Apt 304","350 Hidden Ridge Ct APT 304","South Park","15129","PA","USA","40.292664","-79.99067"
"https://www.zillow.com/homedetails/200-S-Millvale-Ave-APT-101-Pittsburgh-PA-15224/2085805953_zpid/","","","162500","162500","1299","","09/28/2023","800","sqft","203.13","","","","2","1","","Mary Dowd","No","No","Apt 101","200 S Millvale Ave APT 101","Pittsburgh","15224","PA","USA","40.46485","-79.94572"
"https://www.zillow.com/homedetails/144-N-Dithridge-St-APT-408-Pittsburgh-PA-15213/11407782_zpid/","","","179900","179900","1792","81200","09/27/2023","1192","sqft","150.92","178.6","sqft","1007.3","1","1","","Ryan Bibza","No","No","Apt 408","144 N Dithridge St APT 408","Pittsburgh","15213","PA","USA","40.44819","-79.95081"
"https://www.zillow.com/homedetails/404-Lexington-Ave-APT-12-Pittsburgh-PA-15215/11336327_zpid/","","","170000","169900","942","68000","09/22/2023","965","sqft","176.17","","","","1","1","","Robert Strohm","No","No","Apt 12","404 Lexington Ave APT 12","Pittsburgh","15215","PA","USA","40.492134","-79.89756"
"https://www.zillow.com/homedetails/525-Kingsberry-Ct-Pittsburgh-PA-15237/11409779_zpid/","","","150000","150000","1720","111700","09/22/2023","1188","sqft","126.26","","sqft","","2","2","","Kelly Chess","No","No","","525 Kingsberry Ct","Pittsburgh","15237","PA","USA","40.51485","-79.98778"
"https://www.zillow.com/homedetails/3277-Kennett-Sq-Pittsburgh-PA-15213/11413254_zpid/","","","136500","136500","1200","60300","09/19/2023","1080","sqft","126.39","","","","1","1","","Jeffrey Stanley","No","No","","3277 Kennett Sq","Pittsburgh","15213","PA","USA","40.43456","-79.96056"
"https://www.zillow.com/homedetails/606-Carriage-Cir-Pittsburgh-PA-15205/11318702_zpid/","","","178800","178800","1388","89800","09/18/2023","","","","","","","2","1","","Donna Fischer","No","No","","606 Carriage Cir","Pittsburgh","15205","PA","USA","40.428104","-80.103325"
"https://www.zillow.com/homedetails/7230-Beacon-Hill-Dr-Pittsburgh-PA-15221/11418354_zpid/","","","139000","139000","1400","62500","09/15/2023","1395","sqft","99.64","","sqft","","2","2","","Peggy Lips","No","No","","7230 Beacon Hill Dr","Pittsburgh","15221","PA","USA","40.442593","-79.86282"
"https://www.zillow.com/homedetails/212-Serendipity-Dr-Coraopolis-PA-15108/11518275_zpid/","","","180000","180000","1500","85100","09/15/2023","1122","sqft","160.43","","","","2","2","","Megan Stevenson","No","No","","212 Serendipity Dr","Coraopolis","15108","PA","USA","40.522804","-80.19268"
