Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/2725-Zephyr-Ave-Pittsburgh-PA-15204/11483701_zpid/","","","55000","55000","1450","47700","10/12/2023","2175","sqft","25.29","4983.26","sqft","11.04","5","1","","Ryan Shedlock","No","No","","2725 Zephyr Ave","Pittsburgh","15204","PA","USA","40.45318","-80.0503"
"https://www.zillow.com/homedetails/8074-Chaske-St-Verona-PA-15147/11375244_zpid/","","","51300","51300","1407","55900","09/28/2023","1092","sqft","46.98","6037.42","sqft","8.5","3","1","","Robert Moncavage","No","No","","8074 Chaske St","Verona","15147","PA","USA","40.475616","-79.86916"
"https://www.zillow.com/homedetails/734-10th-St-Pitcairn-PA-15140/11601836_zpid/","","","50000","50000","1250","42500","09/28/2023","1798","sqft","27.81","3998.81","sqft","12.5","4","2","","Stephanie Adeniran","No","No","","734 10th St","Pitcairn","15140","PA","USA","40.406696","-79.771996"
"https://www.zillow.com/homedetails/210-Clarks-Pike-Rd-E-Tarentum-PA-15084/2056194395_zpid/","","","55000","","1050","","09/26/2023","1632","sqft","33.7","0.35","acres","157142.86","4","1","","Nicole D Arduino","No","No","","210 Clarks Pike Rd E","Tarentum","15084","PA","USA","",""
"https://www.zillow.com/homedetails/853-Eldora-Pl-Pittsburgh-PA-15210/11324849_zpid/","","","54000","54000","1381","20600","09/21/2023","1534","sqft","35.2","2500.34","sqft","21.6","3","1","","Kim Bradley","No","No","","853 Eldora Pl","Pittsburgh","15210","PA","USA","40.41431","-80.00107"
"https://www.zillow.com/homedetails/2808-Grover-Ave-McKeesport-PA-15132/11462457_zpid/","","","54000","54000","891","11200","09/21/2023","1056","sqft","51.14","2500.34","sqft","21.6","2","1","","Hedy Krenn","No","No","","2808 Grover Ave","McKeesport","15132","PA","USA","40.341274","-79.844345"
"https://www.zillow.com/homedetails/1807-Packer-St-McKeesport-PA-15132/11463020_zpid/","","","52000","52000","1078","17100","09/21/2023","1288","sqft","40.37","2874.96","sqft","18.09","3","2","","Hedy Krenn","No","No","","1807 Packer St","McKeesport","15132","PA","USA","40.33965","-79.84719"
"https://www.zillow.com/homedetails/1724-Federal-St-McKeesport-PA-15132/11464946_zpid/","","","50000","50000","1104","12900","09/21/2023","1360","sqft","36.76","2874.96","sqft","17.39","2","2","","Hedy Krenn","No","No","","1724 Federal St","McKeesport","15132","PA","USA","40.341084","-79.85115"
"https://www.zillow.com/homedetails/119-Quincy-Ave-Pittsburgh-PA-15210/11437081_zpid/","","","55000","55000","1395","18000","09/20/2023","","","","3000","sqft","18.33","4","2","","Alex Deacon","No","No","","119 Quincy Ave","Pittsburgh","15210","PA","USA","40.40755","-79.99049"
"https://www.zillow.com/homedetails/Belle-Vw-Mc-Henry-MD-21541/249559895_zpid/","","","55000","","799","75300","09/18/2023","","","","0.66","acres","83069.24","","","","","No","No","","Belle Vw","Mc Henry","21541","MD","USA","40.38152","-80.21109"
"https://www.zillow.com/homedetails/3115-Churchview-Ave-Pittsburgh-PA-15227/11642516_zpid/","","","50000","50000","1298","37000","09/14/2023","994","sqft","50.3","0.32","acres","157084.51","2","1","","Thomas Bencho","No","No","","3115 Churchview Ave","Pittsburgh","15227","PA","USA","40.386345","-79.965775"
"https://www.zillow.com/homedetails/143-Robin-St-North-Versailles-PA-15137/11538818_zpid/","","","52000","52000","1302","23000","09/13/2023","1100","sqft","47.27","9051.77","sqft","5.74","2","1","","Jason Mazzei","No","No","","143 Robin St","North Versailles","15137","PA","USA","40.37238","-79.815414"
"https://www.zillow.com/homedetails/211-Stanton-Ave-Pittsburgh-PA-15209/11611226_zpid/","","","50000","50000","1711","54300","08/29/2023","1886","sqft","26.51","1799.03","sqft","27.79","3","2","","Marianne Hall","No","No","","211 Stanton Ave","Pittsburgh","15209","PA","USA","40.4776","-79.97084"
"https://www.zillow.com/homedetails/316-318-Tabor-St-Pittsburgh-PA-15204/2056372945_zpid/","","","57000","","1034","","08/25/2023","992","sqft","57.46","1498.46","sqft","38.04","4","2","","Rob Borgo","No","No","","316-318 Tabor St","Pittsburgh","15204","PA","USA","",""
