Property URL,MLS ID,Number of days on Zillow,Property price (USD),Zestimate (USD),Rent zestimate (USD per month),Tax assessed value (USD),Sold date (MM/DD/YYYY),Living area,Living area unit,Price per living area unit (USD),Lot/land area,Lot/land area unit,Price per lot/land area unit (USD),Bedrooms,Bathrooms,Broker name,Broker agent,Is owner occupied,Property owned by Zillow,Property unit number,Street address,City,Zip,State,Country,Latitude,Longitude
"https://www.zillow.com/homedetails/544-Finnin-Allegheny-Twp-New-Kensington-PA-15068/2055888169_zpid/","","","50000","","881","","10/16/2023","","","","1.21","acres","41322.31","2","1","","Amy Johnson","No","No","","544 Finnin Allegheny Twp","New Kensington","15068","PA","USA","",""
"https://www.zillow.com/homedetails/42-Arlington-Dr-Imperial-PA-15126/92378784_zpid/","","","65000","65000","1225","30200","10/06/2023","1344","sqft","48.36","226.51","sqft","286.96","4","2","","Christina Hoffmeier-Holsinger","No","No","","42 Arlington Dr","Imperial","15126","PA","USA","40.44417","-80.234"
"https://www.zillow.com/homedetails/83-Grace-Ln-Mc-Donald-PA-15057/59841391_zpid/","","","165000","","1949","5300","09/28/2023","","","","731.81","sqft","225.47","4","2","","Lori Feely","No","No","","83 Grace Ln","Mc Donald","15057","PA","USA","40.387825","-80.215515"
"https://www.zillow.com/homedetails/301-Midland-Ave-Carnegie-PA-15106/11255555_zpid/","","","110000","144400","1450","57700","08/15/2023","1012","sqft","108.7","2752.99","sqft","39.96","2","3","","Douglas Brewster","No","No","","301 Midland Ave","Carnegie","15106","PA","USA","40.407356","-80.09243"
"https://www.zillow.com/homedetails/14-Jess-Ln-Mc-Donald-PA-15057/333137082_zpid/","","","58000","58100","1984","22000","07/21/2023","","","","749.23","sqft","77.41","2","1","","Rich Dallas","No","No","","14 Jess Ln","Mc Donald","15057","PA","USA","40.385765","-80.21525"
"https://www.zillow.com/homedetails/412-Richmond-Rd-N-Imperial-PA-15126/2058442765_zpid/","","","23000","","1099","","07/21/2023","924","sqft","24.89","","sqft","","2","2","","Francesca Ferrara","No","No","","412 Richmond Rd N","Imperial","15126","PA","USA","",""
"https://www.zillow.com/homedetails/854-Wild-Violet-Dr-Pittsburgh-PA-15239/164694722_zpid/","","","61000","120500","1421","11000","07/18/2023","","","","","sqft","","2","2","","Barry Masters","No","No","","854 Wild Violet Dr","Pittsburgh","15239","PA","USA","40.481415","-79.70912"
"https://www.zillow.com/homedetails/1-Reedsdale-Dr-Clairton-PA-15025/164693948_zpid/","","","25000","25000","1300","3300","07/17/2023","","","","","","","2","1","","MARISSA MONACK","No","No","","1 Reedsdale Dr","Clairton","15025","PA","USA","40.29692","-79.92369"
"https://www.zillow.com/homedetails/5718-Ella-Hollow-Rd-Elizabeth-PA-15037/11365579_zpid/","","","6000","","1095","42000","07/14/2023","840","sqft","7.14","0.3","acres","19795.5","2","1","","","No","No","","5718 Ella Hollow Rd","Elizabeth","15037","PA","USA","40.217453","-79.868095"
"https://www.zillow.com/homedetails/1697-Kirk-Dr-Verona-PA-15147/81843946_zpid/","","","30000","30000","1264","3600","07/10/2023","","","","2178","sqft","13.77","2","2","","MARISSA MONACK","No","No","","1697 Kirk Dr","Verona","15147","PA","USA","40.513897","-79.80639"
